image_id,relative_path,file_name,mineral_label,four_class_label,four_class_id,source_site,source_type,mindat_photo_id,detail_page_url,download_source_url,page_title,locality,photographer_or_credit,license_or_rights,screening_decision,manual_review_required,metadata_source_file,metadata_status,metadata_missing_fields,width,height,aspect_ratio,megapixels,file_size_bytes,image_format,image_mode,sha256,dhash64,dimension_pass,quality_status,quality_error,exact_duplicate_group_size,near_duplicate_group_id,near_duplicate_group_size,split_group_id,split
VTM-000369,raw_positive/magnetite_proxy/magnetite_mindat_p017959_874_raw.jpg,magnetite_mindat_p017959_874_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,17959,https://www.mindat.org/photo-17959.html,https://www.mindat.org/imagecache/a0/e7/09872140017363522984958.jpg,"Magnetite, Calcite","Kovdor Massif, Kovdorsky District, Murmansk Oblast, Russia",Druze of black with blueing crystals of magnetite on a calcite matrix. Size of the specimen is 8x4x4 cm. Max. size of individual crystals is 2 cm.,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,272,2.352941,0.1741,60620,JPEG,RGB,dfcb9723ca83b8ae8cf9df0402f71d00eb89fe6beb42bec374d4233443d35c79,98c8c9e820c0f458,False,exclude_low_resolution,,1,DG-1095b0377047,1,DG-1095b0377047,excluded
VTM-000816,raw_positive/magnetite_proxy/magnetite_mindat_p1378816_230_raw.jpg,magnetite_mindat_p1378816_230_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,1378816,https://www.mindat.org/photo-1378816.html,https://www.mindat.org/imagecache/13/d4/02241080017362061335551.jpg,"Magnetite, Garnet Group, Gneiss, Quartzite, Pyrite, Diopside","Jõhvi magnetic anomaly, Jõhvi, Ida-Viru County, Estonia",© Estonian Geological Survey,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,256,2.5,0.1638,104377,JPEG,RGB,29695b8ce80bb1a8fd672062e2c613be0abd21f5f2ecef56f7a4424e64b3d7f8,6f41060742706064,False,exclude_low_resolution,,1,DG-3937f4362092,1,DG-3937f4362092,excluded
VTM-000887,raw_positive/magnetite_proxy/magnetite_mindat_p1468553_1264_raw.jpg,magnetite_mindat_p1468553_1264_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,1468553,https://www.mindat.org/photo-1468553.html,https://www.mindat.org/imagecache/8a/4b/05719180017433983724100.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Epidote, Prehnite","Eas a Bradain, Luib, Isle of Skye, Eilean á Chèo, Highland, Scotland, UK",© Steve Rust,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,742,0.862534,0.4749,165609,JPEG,RGB,9dcc36a82e5963d0ead1f407466aad819e832e648f08b2c47f1695924ca955e5,44dcf2215ddb7b37,True,exclude_exact_label_conflict,,2,DG-6d0f1af71823,2,DG-6d0f1af71823,excluded
VTM-000891,raw_positive/magnetite_proxy/magnetite_mindat_p1473728_1263_raw.jpg,magnetite_mindat_p1473728_1263_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,1473728,https://www.mindat.org/photo-1473728.html,https://www.mindat.org/imagecache/8b/15/02873390017443298071943.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Prehnite, Epidote","Eas a Bradain, Luib, Isle of Skye, Eilean á Chèo, Highland, Scotland, UK",© Steve Rust,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,560,1.142857,0.3584,146109,JPEG,RGB,3c1cc790a569b44316faa0e6f7e09839a868a7969f2791936cc836dbb9075918,74f9fbe871386cec,True,exclude_exact_label_conflict,,2,DG-2e1bc7c614d6,2,DG-2e1bc7c614d6,excluded
VTM-000894,raw_positive/magnetite_proxy/magnetite_mindat_p148442_252_raw.jpg,magnetite_mindat_p148442_252_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,148442,https://www.mindat.org/photo-148442.html,https://www.mindat.org/imagecache/80/96/01752570017365497919138.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Ulvöspinel","Otanmäki Mine, Otanmäki granite, Kajaani, Kainuu, Finland","Titaniferous magnetite with non-visible inclusions of ulvospinel, microscopic examination of a thin-section may reveal exosolutions of ulvospinel in the magnetite. 3 cm example, Excalibur Mineral Company specimen. S234-31",Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,1146,0.558464,0.7334,163326,JPEG,RGB,5b413e271b06280fdedc27ed7ff090a696c3e908c25de2fcd7d6abf6987f17b8,c1e0ecd8f9e9f9b9,True,exclude_near_label_conflict,,1,DG-a6499382abb2,2,DG-a6499382abb2,excluded
VTM-000903,raw_positive/magnetite_proxy/magnetite_mindat_p149085_274_raw.jpg,magnetite_mindat_p149085_274_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,149085,https://www.mindat.org/photo-149085.html,https://www.mindat.org/imagecache/c9/35/03559840017367552752326.jpg,Magnetite,"Métou stream alluvial deposits, Vergonzac, Siaugues-Sainte-Marie, Brioude, Haute-Loire, Auvergne-Rhône-Alpes, France",© François Périnet,Mindat photo page rights; verify per photo before republication,keep_prelim,,mindat_magnetite_manifest.csv,complete_core,,640,480,1.333333,0.3072,75766,JPEG,RGB,285289ad3487b7c95b9b3d346fe448e59e70d10c7b4b0504202a24763502fa6b,4cb27161f971b24c,True,exclude_near_label_conflict,,1,DG-3c1fb8d016bd,2,DG-3c1fb8d016bd,excluded
VTM-000905,raw_positive/magnetite_proxy/magnetite_mindat_p1493729_1265_raw.jpg,magnetite_mindat_p1493729_1265_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,1493729,https://www.mindat.org/photo-1493729.html,https://www.mindat.org/imagecache/41/88/06996830017475947377635.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Prehnite, Feldspar Group, Quartz","Eas a Bradain, Luib, Isle of Skye, Eilean á Chèo, Highland, Scotland, UK",© Steve Rust,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,538,1.189591,0.3443,127192,JPEG,RGB,d09e242ed474fe82f080df180be3e46461a74599ba0e8e9bc7f17d1125c735ab,98d84cec3a7ac6d6,True,exclude_exact_label_conflict,,2,DG-0462ca0739ec,2,DG-0462ca0739ec,excluded
VTM-000918,raw_positive/magnetite_proxy/magnetite_mindat_p1513169_958_raw.jpg,magnetite_mindat_p1513169_958_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,1513169,https://www.mindat.org/photo-1513169.html,https://www.mindat.org/imagecache/30/97/04702280017512872965793.jpg,Magnetite,"Pod Karlíkom, Hodruša-Hámre, Žarnovica District, Banská Bystrica Region, Slovakia",© Juraj Demian,Mindat photo page rights; verify per photo before republication,keep_prelim,,mindat_magnetite_manifest.csv,complete_core,,640,288,2.222222,0.1843,152837,JPEG,RGB,4b828de45ea8c728d3239c7a186bdc9fd2ea8496ea1721a592466de9815eb528,270d74426b636267,False,exclude_low_resolution,,1,DG-ce24afd179b3,1,DG-ce24afd179b3,excluded
VTM-001280,raw_positive/magnetite_proxy/magnetite_mindat_p499078_932_raw.jpg,magnetite_mindat_p499078_932_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,499078,https://www.mindat.org/photo-499078.html,https://www.mindat.org/imagecache/b3/5a/06038070017363091423652.jpg,Magnetite (Var: Titanium-bearing Magnetite),"Akhmatov mine, Magnitka, Kusinsky District, Chelyabinsk Oblast, Russia","Specimen Size: 9,5x8x4 cm",Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,480,1.333333,0.3072,58067,JPEG,RGB,39912b829eefafb18e753460862ccafdd2e08848d522af0ca4b23fd0d166ba02,69c8dccccecedae4,True,exclude_near_label_conflict,,1,DG-2be640126a35,2,DG-2be640126a35,excluded
VTM-001325,raw_positive/magnetite_proxy/magnetite_mindat_p537487_795_raw.jpg,magnetite_mindat_p537487_795_raw.jpg,magnetite,target_mineral,0,mindat.org,online_mineral_gallery,537487,https://www.mindat.org/photo-537487.html,https://www.mindat.org/imagecache/a4/fe/05480690017365253985906.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Ulvöspinel","Suwałki Massif, Suwałki County, Podlaskie Voivodeship, Poland",Fragment of drill core from 1600 meters deep. Specimen size: 80 mm. Grzegorz Słowik collection and photo.,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,,mindat_magnetite_manifest.csv,complete_core,,640,480,1.333333,0.3072,107972,JPEG,RGB,e4dac8dea8174abc4f5b8a32e80f21ed68fb8d557dd03dafccbc36d05b084c4b,13f3b1c58d15b3f9,True,exclude_exact_label_conflict,,2,DG-4069be275364,2,DG-4069be275364,excluded
VTM-001672,raw_positive/titanomagnetite_core/titanomagnetite_mindat_p1163316_026_raw.jpg,titanomagnetite_mindat_p1163316_026_raw.jpg,titanomagnetite,target_mineral,0,Mindat,manual_download,1163316,https://www.mindat.org/photo-1163316.html,https://www.mindat.org/imagecache/42/be/09673630017363720365364.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Microcline, QuartzImilchil Cercle, Midelt Province, Drâa-Tafilalet Region, MoroccoReference: TM46AN2",A novelty at Sainte Marie Virtual 2021. Octahedral crystals of Magnetite (titanium-rich variety) in parallel growths and with an aggregate habit that suggests they represent a pseudomorph after an Ilmenite crystal. The lustrous Magnetite crystals show fine growth lines and are partially covered by Microcline and Quartz  ...© Fabre Minerals https://www.fabreminerals.com,,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,yes,mindat_titanomagnetite_manifest.csv,complete_core,,640,582,1.099656,0.3725,95314,JPEG,RGB,36903b66a3a6fc09721bc4f1f5063a489db16abf38272eb6dbd5a292df8bfc72,1270f1e1e4dcf0e8,True,exclude_exact_label_conflict,,2,DG-64ffcbb40eb4,2,DG-64ffcbb40eb4,excluded
VTM-001673,raw_positive/titanomagnetite_core/titanomagnetite_mindat_p1163636_028_raw.jpg,titanomagnetite_mindat_p1163636_028_raw.jpg,titanomagnetite,target_mineral,0,Mindat,manual_download,1163636,https://www.mindat.org/photo-1163636.html,https://www.mindat.org/imagecache/67/ed/01613570017363720357435.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Microcline, QuartzImilchil Cercle, Midelt Province, Drâa-Tafilalet Region, MoroccoReference: TB87AN2",A novelty at Sainte Marie Virtual 2021. Druse of octahedral crystals of Magnetite (titanium-rich variety) in parallel growths and with an aggregate habit that suggests they represent a pseudomorph after an Ilmenite crystal. The lustrous Magnetite crystals with fine growth striations are partially covered by Microcline and  ...© Fabre Minerals https://www.fabreminerals.com,,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,yes,mindat_titanomagnetite_manifest.csv,complete_core,,640,758,0.844327,0.4851,143679,JPEG,RGB,eaf804423000a599a70118167005cb48efd6458b20f8f28ff5c660dc37bc2639,83d0d4cccccce860,True,exclude_exact_label_conflict,,2,DG-4cfad1d61302,2,DG-4cfad1d61302,excluded
VTM-001674,raw_positive/titanomagnetite_core/titanomagnetite_mindat_p1173664_031_raw.jpg,titanomagnetite_mindat_p1173664_031_raw.jpg,titanomagnetite,target_mineral,0,Mindat,manual_download,1173664,https://www.mindat.org/photo-1173664.html,https://www.mindat.org/imagecache/a4/6d/05072330017363720361844.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Microcline, QuartzImilchil Cercle, Midelt Province, Drâa-Tafilalet Region, MoroccoReference: TG27AN2",A novelty at Sainte Marie Virtual 2021. Octahedral crystals of Magnetite (titanium-rich variety) in parallel growths and with an aggregate habit that suggests they represent a pseudomorph after an Ilmenite crystal. The lustrous Magnetite crystals show fine growth lines and are partially covered by Microcline and Quartz  ...© Fabre Minerals https://www.fabreminerals.com,,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,yes,mindat_titanomagnetite_manifest.csv,complete_core,,640,758,0.844327,0.4851,121278,JPEG,RGB,8367e5833e91813ad3fc61ac95d664c67544e06aa842fc168b46681bbd774e79,33f0c8e8d0e07973,True,exclude_exact_label_conflict,,2,DG-34372c60fc84,2,DG-34372c60fc84,excluded
VTM-001675,raw_positive/titanomagnetite_core/titanomagnetite_mindat_p1186432_027_raw.jpg,titanomagnetite_mindat_p1186432_027_raw.jpg,titanomagnetite,target_mineral,0,Mindat,manual_download,1186432,https://www.mindat.org/photo-1186432.html,https://www.mindat.org/imagecache/36/d2/05742270017363720345958.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Microcline, QuartzImilchil Cercle, Midelt Province, Drâa-Tafilalet Region, MoroccoReference: TV66AN2",A novelty at Sainte Marie Virtual 2021. Octahedral crystals of Magnetite (titanium-rich variety) in parallel growths and with an aggregate habit that suggests they represent a pseudomorph after an Ilmenite crystal. The lustrous Magnetite crystals show fine growth lines and are partially covered by Microcline and Quartz  ...© Fabre Minerals https://www.fabreminerals.com,,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,yes,mindat_titanomagnetite_manifest.csv,complete_core,,640,552,1.15942,0.3533,101090,JPEG,RGB,758b8361db58370e7329cd48971af10e6d93e35d9d2c70bcc612c9800260cc04,26e090c4c4d4d474,True,exclude_exact_label_conflict,,2,DG-3107492c292c,2,DG-3107492c292c,excluded
VTM-001676,raw_positive/titanomagnetite_core/titanomagnetite_mindat_p1198602_025_raw.jpg,titanomagnetite_mindat_p1198602_025_raw.jpg,titanomagnetite,target_mineral,0,Mindat,manual_download,1198602,https://www.mindat.org/photo-1198602.html,https://www.mindat.org/imagecache/73/25/09854740017363720355079.jpg,"Magnetite (Var: Titanium-bearing Magnetite), QuartzImilchil Cercle, Midelt Province, Drâa-Tafilalet Region, MoroccoReference: TC88AN2","A novelty at Sainte Marie Virtual 2021. Druse of octahedral crystals of Magnetite (titanium-rich variety) in parallel growths and with an aggregate habit that suggests they represent a pseudomorph after an Ilmenite crystal. The Magnetite crystals are lustrous, with fine growth striations, partially covered by Quartz  ...© Fabre Minerals https://www.fabreminerals.com",,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,yes,mindat_titanomagnetite_manifest.csv,complete_core,,640,928,0.689655,0.5939,175659,JPEG,RGB,3ce2c537dea103899fa096ced6755774b03ef9125034664baa4e81f4eb133b6f,b974e4ccecdcc0c0,True,exclude_exact_label_conflict,,2,DG-7fe962444066,2,DG-7fe962444066,excluded
VTM-001683,raw_positive/titanomagnetite_core/titanomagnetite_mindat_p1252070_029_raw.jpg,titanomagnetite_mindat_p1252070_029_raw.jpg,titanomagnetite,target_mineral,0,Mindat,manual_download,1252070,https://www.mindat.org/photo-1252070.html,https://www.mindat.org/imagecache/ba/29/01787960017365497933930.jpg,"Magnetite (Var: Titanium-bearing Magnetite)Transvaal, South AfricaMassive dark gray metallic titaniferous magnetite.",,,Mindat photo page rights; verify per photo before republication,keep_prelim,yes,mindat_titanomagnetite_manifest.csv,complete_core,,640,436,1.46789,0.279,120690,JPEG,RGB,02497d7a0ebb04123ac30311116a2c9351d1545d69ada555dc3628e2131435dd,3860cad2b8f8d093,True,exclude_exact_label_conflict,,2,DG-b329915fc120,2,DG-b329915fc120,excluded
VTM-001684,raw_positive/titanomagnetite_core/titanomagnetite_mindat_p1468553_021_raw.jpg,titanomagnetite_mindat_p1468553_021_raw.jpg,titanomagnetite,target_mineral,0,Mindat,manual_download,1468553,https://www.mindat.org/photo-1468553.html,https://www.mindat.org/imagecache/8a/4b/05719180017433983724100.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Epidote, PrehniteEas a Bradain, Luib, Isle of Skye, Eilean á Chèo, Highland, Scotland, UKBlack crystals of titanium bearing magnetite with bladed-prismatic crystals of epidote and white-creamy prehnite on undetermined feldspar. It would appear that 'all' of the magnetite from the granites on Skye are titanium bearing. The rough looking terminations on the magnetite crystals are poorly formed, but not damaged.© Steve Rust",,,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,yes,mindat_titanomagnetite_manifest.csv,complete_core,,640,742,0.862534,0.4749,165609,JPEG,RGB,9dcc36a82e5963d0ead1f407466aad819e832e648f08b2c47f1695924ca955e5,44dcf2215ddb7b37,True,exclude_exact_label_conflict,,2,DG-6d0f1af71823,2,DG-6d0f1af71823,excluded
VTM-001685,raw_positive/titanomagnetite_core/titanomagnetite_mindat_p1473728_020_raw.jpg,titanomagnetite_mindat_p1473728_020_raw.jpg,titanomagnetite,target_mineral,0,Mindat,manual_download,1473728,https://www.mindat.org/photo-1473728.html,https://www.mindat.org/imagecache/8b/15/02873390017443298071943.jpg,"Magnetite (Var: Titanium-bearing Magnetite), Prehnite, EpidoteEas a Bradain, Luib, Isle of Skye, Eilean á Chèo, Highland, Scotland, UKAssociated hair-like crystals of an amphibole on a feldspar matrix.© Steve Rust",,,Mindat photo page rights; verify per photo before republication,mixed_uncertain_review,yes,mindat_titanomagnetite_manifest.csv,complete_core,,640,560,1.142857,0.3584,146109,JPEG,RGB,3c1cc790a569b44316faa0e6f7e09839a868a7969f2791936cc836dbb9075918,74f9fbe871386cec,True,exclude_exact_label_conflict,,2,DG-2e1bc7c614d6,2,DG-2e1bc7c614d6,excluded
