image_id,relative_path,mineral_label,four_class_label,four_class_id,mindat_photo_id,split_group_id,split,review_decision,review_reason,expert_note,reviewer,review_date
VTM-004266,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1694340_page7_033_raw.jpg,chalcopyrite,metallic_hard_negative,3,1694340,DG-b39923e015fb,train,exclude,microscope_image,,,
VTM-004353,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p531950_page3_048_raw.jpg,chalcopyrite,metallic_hard_negative,3,531950,DG-9167d2f948cb,test,exclude,microscope_image,,,
VTM-004377,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p624795_page4_046_raw.jpg,chalcopyrite,metallic_hard_negative,3,624795,DG-2a2b23af86d3,train,exclude,microscope_image,,,
VTM-004394,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p663340_page4_068_raw.jpg,chalcopyrite,metallic_hard_negative,3,663340,DG-b045eb6ffb0d,train,exclude,microscope_image,,,
VTM-004454,raw_negative/metallic_hard_negative/goethite/goethite_mindat_p022128_page2_001_raw.jpg,goethite,metallic_hard_negative,3,22128,DG-49fe477852af,train,exclude,rendered_or_illustration,,,
VTM-004813,raw_negative/metallic_hard_negative/hematite/hematite_mindat_p1334126_page5_073_raw.jpg,hematite,metallic_hard_negative,3,1334126,DG-33991845aaf1,test,exclude,microscope_image,,,
VTM-004814,raw_negative/metallic_hard_negative/hematite/hematite_mindat_p1334129_page5_065_raw.jpg,hematite,metallic_hard_negative,3,1334129,DG-9055b7cc284e,train,exclude,microscope_image,,,
VTM-005096,raw_negative/metallic_hard_negative/pyrite/pyrite_mindat_p1060214_page3_020_raw.jpg,pyrite,metallic_hard_negative,3,1060214,DG-a634e7073d04,train,exclude,microscope_image,,,
VTM-005121,raw_negative/metallic_hard_negative/pyrite/pyrite_mindat_p1211223_page5_011_raw.jpg,pyrite,metallic_hard_negative,3,1211223,DG-31988d6f57e2,val,exclude,,,,
VTM-005129,raw_negative/metallic_hard_negative/pyrite/pyrite_mindat_p1381744_page5_016_raw.jpg,pyrite,metallic_hard_negative,3,1381744,DG-1a89d206e5ed,test,exclude,microscope_image,,,
VTM-005157,raw_negative/metallic_hard_negative/pyrite/pyrite_mindat_p1457410_page3_018_raw.jpg,pyrite,metallic_hard_negative,3,1457410,DG-3abb9689924c,train,exclude,microscope_image,,,
VTM-006690,raw_negative/ti_bearing_negative/perovskite/perovskite_mindat_p201305_117_raw.jpg,perovskite,ti_bearing_negative,1,201305,DG-c08a159b0112,val,exclude,microscope_image,,,
VTM-008376,raw_negative/ti_bearing_negative/titanite/titanite_mindat_p1242962_page3_007_raw.jpg,titanite,ti_bearing_negative,1,1242962,DG-b454db917c27,train,exclude,,,,
