image_id,relative_path,mineral_label,four_class_label,four_class_id,mindat_photo_id,split_group_id,split
VTM-000045,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1047579_231_raw.jpg,ilmenite,target_mineral,0,1047579,DG-e57922e4a4ef,train
VTM-000046,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1053297_103_raw.jpg,ilmenite,target_mineral,0,1053297,DG-8ca8a880111d,train
VTM-000047,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1053340_104_raw.jpg,ilmenite,target_mineral,0,1053340,DG-0b8c9d675dcb,train
VTM-000048,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p105371_269_raw.jpg,ilmenite,target_mineral,0,105371,DG-0f8409a21a22,train
VTM-000049,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1069969_320_raw.jpg,ilmenite,target_mineral,0,1069969,DG-9fe5a7c1bd2f,train
VTM-000050,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1073133_020_raw.jpg,ilmenite,target_mineral,0,1073133,DG-5ce3c43f0026,train
VTM-000051,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p107490_075_raw.jpg,ilmenite,target_mineral,0,107490,DG-0f2238eb4dbb,train
VTM-000052,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1096377_183_raw.jpg,ilmenite,target_mineral,0,1096377,DG-c77341bb0bdd,train
VTM-000053,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1097814_294_raw.jpg,ilmenite,target_mineral,0,1097814,DG-0c19a5da525e,train
VTM-000054,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1098646_276_raw.jpg,ilmenite,target_mineral,0,1098646,DG-4dc01708b6c1,train
VTM-000055,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1116495_343_raw.jpg,ilmenite,target_mineral,0,1116495,DG-3cad097ede55,train
VTM-000056,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p112789_044_raw.jpg,ilmenite,target_mineral,0,112789,DG-9bdcc1194231,train
VTM-000057,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1141174_011_raw.jpg,ilmenite,target_mineral,0,1141174,DG-888ab0f7b6ed,val
VTM-000058,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1141176_015_raw.jpg,ilmenite,target_mineral,0,1141176,DG-5e73760da06b,train
VTM-000059,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1142421_003_raw.jpg,ilmenite,target_mineral,0,1142421,DG-104f7493d31e,train
VTM-000060,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1149599_002_raw.jpg,ilmenite,target_mineral,0,1149599,DG-9b262ffa3aac,train
VTM-000061,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1152328_146_raw.jpg,ilmenite,target_mineral,0,1152328,DG-42b3197b773f,train
VTM-000062,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1157621_351_raw.jpg,ilmenite,target_mineral,0,1157621,DG-75d0abfbfa6e,val
VTM-000063,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1159316_232_raw.jpg,ilmenite,target_mineral,0,1159316,DG-a13316fbba17,train
VTM-000064,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p119088_064_raw.jpg,ilmenite,target_mineral,0,119088,DG-cbbeb875d4d7,train
VTM-000065,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1190971_334_raw.jpg,ilmenite,target_mineral,0,1190971,DG-acfef7df8b77,val
VTM-000066,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p119522_279_raw.jpg,ilmenite,target_mineral,0,119522,DG-adaa70b8da44,train
VTM-000067,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p119531_267_raw.jpg,ilmenite,target_mineral,0,119531,DG-5e3c1a734ecf,train
VTM-000068,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p119538_278_raw.jpg,ilmenite,target_mineral,0,119538,DG-eb8aface81ea,test
VTM-000069,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1205969_245_raw.jpg,ilmenite,target_mineral,0,1205969,DG-acd49a666aae,train
VTM-000070,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1208494_082_raw.jpg,ilmenite,target_mineral,0,1208494,DG-4023d32d209a,val
VTM-000071,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1228510_255_raw.jpg,ilmenite,target_mineral,0,1228510,DG-43ff4b7e71d7,train
VTM-000072,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1254993_304_raw.jpg,ilmenite,target_mineral,0,1254993,DG-f00d4292aa19,train
VTM-000073,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1270142_179_raw.jpg,ilmenite,target_mineral,0,1270142,DG-84bf0036b89d,train
VTM-000074,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1286577_297_raw.jpg,ilmenite,target_mineral,0,1286577,DG-05c8d12a3443,train
VTM-000075,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1289101_307_raw.jpg,ilmenite,target_mineral,0,1289101,DG-065ff316e883,train
VTM-000076,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1290557_157_raw.jpg,ilmenite,target_mineral,0,1290557,DG-11bb53a3470c,val
VTM-000077,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298635_149_raw.jpg,ilmenite,target_mineral,0,1298635,DG-9de101d02311,val
VTM-000078,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298636_159_raw.jpg,ilmenite,target_mineral,0,1298636,DG-6cfccac709da,train
VTM-000080,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298638_168_raw.jpg,ilmenite,target_mineral,0,1298638,DG-7e62cc22da7f,train
VTM-000081,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298639_155_raw.jpg,ilmenite,target_mineral,0,1298639,DG-a37ea3e212b7,train
VTM-000082,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298642_163_raw.jpg,ilmenite,target_mineral,0,1298642,DG-de208172c6cc,train
VTM-000083,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298645_176_raw.jpg,ilmenite,target_mineral,0,1298645,DG-e67e7310d83e,train
VTM-000084,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298646_173_raw.jpg,ilmenite,target_mineral,0,1298646,DG-f28e29d399dc,test
VTM-000085,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298649_160_raw.jpg,ilmenite,target_mineral,0,1298649,DG-7abf9c44f08e,train
VTM-000086,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298650_162_raw.jpg,ilmenite,target_mineral,0,1298650,DG-65665907131c,test
VTM-000087,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p129865_017_raw.jpg,ilmenite,target_mineral,0,129865,DG-9eeca622f783,train
VTM-000089,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298698_172_raw.jpg,ilmenite,target_mineral,0,1298698,DG-cb1397a58072,train
VTM-000090,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298712_177_raw.jpg,ilmenite,target_mineral,0,1298712,DG-6354fac148fc,train
VTM-000091,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298715_178_raw.jpg,ilmenite,target_mineral,0,1298715,DG-7fc56bd7b2ef,train
VTM-000092,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1298716_167_raw.jpg,ilmenite,target_mineral,0,1298716,DG-be802058248e,train
VTM-000093,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p130335_045_raw.jpg,ilmenite,target_mineral,0,130335,DG-6fac7c12364b,train
VTM-000094,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p130336_088_raw.jpg,ilmenite,target_mineral,0,130336,DG-0d3035211918,test
VTM-000095,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p130337_087_raw.jpg,ilmenite,target_mineral,0,130337,DG-96eee34c08c3,train
VTM-000096,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1307692_253_raw.jpg,ilmenite,target_mineral,0,1307692,DG-7201fdbc3683,train
VTM-000097,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1311296_341_raw.jpg,ilmenite,target_mineral,0,1311296,DG-52dbc2d87ae6,train
VTM-000098,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1313668_332_raw.jpg,ilmenite,target_mineral,0,1313668,DG-49669df93178,train
VTM-000099,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1316676_016_raw.jpg,ilmenite,target_mineral,0,1316676,DG-0cb77f3a3394,test
VTM-000100,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1331041_342_raw.jpg,ilmenite,target_mineral,0,1331041,DG-134c1cda5ae8,test
VTM-000101,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1335723_333_raw.jpg,ilmenite,target_mineral,0,1335723,DG-3819820fd404,train
VTM-000106,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1335741_340_raw.jpg,ilmenite,target_mineral,0,1335741,DG-97b93373f548,test
VTM-000107,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1343492_101_raw.jpg,ilmenite,target_mineral,0,1343492,DG-2643e93c71a5,train
VTM-000108,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1344599_091_raw.jpg,ilmenite,target_mineral,0,1344599,DG-a0a42c1011c7,train
VTM-000109,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1346184_169_raw.jpg,ilmenite,target_mineral,0,1346184,DG-45cfbbb23bdc,train
VTM-000110,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1371272_158_raw.jpg,ilmenite,target_mineral,0,1371272,DG-0021ee407da2,train
VTM-000111,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1371565_336_raw.jpg,ilmenite,target_mineral,0,1371565,DG-1b680e3165a6,train
VTM-000112,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1373672_330_raw.jpg,ilmenite,target_mineral,0,1373672,DG-933cd53e8de7,train
VTM-000113,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1373673_329_raw.jpg,ilmenite,target_mineral,0,1373673,DG-e8234023ec6d,train
VTM-000114,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1379001_021_raw.jpg,ilmenite,target_mineral,0,1379001,DG-fc3a66d13a58,train
VTM-000115,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1381487_171_raw.jpg,ilmenite,target_mineral,0,1381487,DG-385612ac4784,val
VTM-000116,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1388824_181_raw.jpg,ilmenite,target_mineral,0,1388824,DG-ba14978c38b0,train
VTM-000117,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1412054_106_raw.jpg,ilmenite,target_mineral,0,1412054,DG-413bf8b882be,train
VTM-000118,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1412110_105_raw.jpg,ilmenite,target_mineral,0,1412110,DG-14b376873e31,train
VTM-000119,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1412207_092_raw.jpg,ilmenite,target_mineral,0,1412207,DG-fb23410b9ff9,train
VTM-000120,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p144995_127_raw.jpg,ilmenite,target_mineral,0,144995,DG-3e885422ff43,train
VTM-000121,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p144997_125_raw.jpg,ilmenite,target_mineral,0,144997,DG-947c4a2d49b1,test
VTM-000122,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p145003_313_raw.jpg,ilmenite,target_mineral,0,145003,DG-8466339f6961,val
VTM-000123,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1469044_346_raw.jpg,ilmenite,target_mineral,0,1469044,DG-f7048b8cdbe5,train
VTM-000124,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1474802_180_raw.jpg,ilmenite,target_mineral,0,1474802,DG-013c262d9b7f,val
VTM-000125,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1479998_175_raw.jpg,ilmenite,target_mineral,0,1479998,DG-92cd703d8751,test
VTM-000126,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p155036_312_raw.jpg,ilmenite,target_mineral,0,155036,DG-c9aba633a410,train
VTM-000127,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1567853_347_raw.jpg,ilmenite,target_mineral,0,1567853,DG-d8a82f1dbe7a,val
VTM-000128,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1573373_111_raw.jpg,ilmenite,target_mineral,0,1573373,DG-73af3e0fd0e5,test
VTM-000129,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1573748_107_raw.jpg,ilmenite,target_mineral,0,1573748,DG-70edfcef8486,train
VTM-000130,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p157697_349_raw.jpg,ilmenite,target_mineral,0,157697,DG-c93fa69bd002,train
VTM-000131,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p163176_089_raw.jpg,ilmenite,target_mineral,0,163176,DG-c23afe0b7ee3,train
VTM-000132,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1641636_095_raw.jpg,ilmenite,target_mineral,0,1641636,DG-f60915d6c392,val
VTM-000133,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1641639_109_raw.jpg,ilmenite,target_mineral,0,1641639,DG-17a6c8d06911,val
VTM-000134,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1654020_345_raw.jpg,ilmenite,target_mineral,0,1654020,DG-93503f79d4d9,train
VTM-000135,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p166360_271_raw.jpg,ilmenite,target_mineral,0,166360,DG-d7c826c0b971,train
VTM-000136,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1665120_108_raw.jpg,ilmenite,target_mineral,0,1665120,DG-7d68bf215ad3,train
VTM-000138,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p168119_275_raw.jpg,ilmenite,target_mineral,0,168119,DG-6cfde0785f0c,train
VTM-000139,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1701918_110_raw.jpg,ilmenite,target_mineral,0,1701918,DG-12575b2ba68a,train
VTM-000140,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1712438_113_raw.jpg,ilmenite,target_mineral,0,1712438,DG-93845f92f943,test
VTM-000141,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p1712858_114_raw.jpg,ilmenite,target_mineral,0,1712858,DG-1e3ed1ccc697,val
VTM-000142,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p173091_315_raw.jpg,ilmenite,target_mineral,0,173091,DG-6f8fb1c77e4c,train
VTM-000143,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p173093_058_raw.jpg,ilmenite,target_mineral,0,173093,DG-9af7bd61913c,train
VTM-000144,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p173095_007_raw.jpg,ilmenite,target_mineral,0,173095,DG-7b8d80377985,test
VTM-000145,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p173583_028_raw.jpg,ilmenite,target_mineral,0,173583,DG-d7b92762e0e4,train
VTM-000146,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p173666_014_raw.jpg,ilmenite,target_mineral,0,173666,DG-6ea19c736013,train
VTM-000147,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p173863_005_raw.jpg,ilmenite,target_mineral,0,173863,DG-f6947347e25e,train
VTM-000148,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p185317_273_raw.jpg,ilmenite,target_mineral,0,185317,DG-6b6127386ae0,test
VTM-000149,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p185318_277_raw.jpg,ilmenite,target_mineral,0,185318,DG-4a5c55941f28,train
VTM-000150,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p185591_189_raw.jpg,ilmenite,target_mineral,0,185591,DG-4e5e3ca16ae7,val
VTM-000151,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p185771_194_raw.jpg,ilmenite,target_mineral,0,185771,DG-f6ec95d06e37,test
VTM-000152,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p188330_190_raw.jpg,ilmenite,target_mineral,0,188330,DG-03a3f84a104f,train
VTM-000153,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p188806_054_raw.jpg,ilmenite,target_mineral,0,188806,DG-44fdd9e1e28e,train
VTM-000154,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p190038_286_raw.jpg,ilmenite,target_mineral,0,190038,DG-6015dbb94432,val
VTM-000155,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p190043_285_raw.jpg,ilmenite,target_mineral,0,190043,DG-41c3f25eedcf,test
VTM-000156,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p190044_281_raw.jpg,ilmenite,target_mineral,0,190044,DG-b07c5902c813,train
VTM-000157,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p190143_270_raw.jpg,ilmenite,target_mineral,0,190143,DG-91303cef6949,train
VTM-000158,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p190655_282_raw.jpg,ilmenite,target_mineral,0,190655,DG-ac0a79840c69,test
VTM-000159,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p191761_288_raw.jpg,ilmenite,target_mineral,0,191761,DG-0710f7fdded7,train
VTM-000160,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p200491_193_raw.jpg,ilmenite,target_mineral,0,200491,DG-59d8b07cf8d3,train
VTM-000161,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p200895_289_raw.jpg,ilmenite,target_mineral,0,200895,DG-6129cc4983de,train
VTM-000162,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p203746_287_raw.jpg,ilmenite,target_mineral,0,203746,DG-2453eef001b2,train
VTM-000163,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p204691_314_raw.jpg,ilmenite,target_mineral,0,204691,DG-429ac430ac4d,train
VTM-000164,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p207537_192_raw.jpg,ilmenite,target_mineral,0,207537,DG-188a4021410f,train
VTM-000165,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p217187_094_raw.jpg,ilmenite,target_mineral,0,217187,DG-75d2ba28f5d4,train
VTM-000166,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p218065_072_raw.jpg,ilmenite,target_mineral,0,218065,DG-3e8267c7703c,val
VTM-000167,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p225440_008_raw.jpg,ilmenite,target_mineral,0,225440,DG-063b1b3fcaa7,train
VTM-000168,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p227271_055_raw.jpg,ilmenite,target_mineral,0,227271,DG-9549f16ca6f8,test
VTM-000169,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p227275_043_raw.jpg,ilmenite,target_mineral,0,227275,DG-882efade704c,train
VTM-000170,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p240350_132_raw.jpg,ilmenite,target_mineral,0,240350,DG-9cf4fe773417,val
VTM-000171,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p244426_090_raw.jpg,ilmenite,target_mineral,0,244426,DG-53fc877654ca,train
VTM-000172,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p244894_196_raw.jpg,ilmenite,target_mineral,0,244894,DG-333e6b3c7da9,train
VTM-000173,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p269330_131_raw.jpg,ilmenite,target_mineral,0,269330,DG-806b81112d54,val
VTM-000174,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p278868_197_raw.jpg,ilmenite,target_mineral,0,278868,DG-3c8051956848,test
VTM-000175,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p278870_200_raw.jpg,ilmenite,target_mineral,0,278870,DG-f6f4556329e3,val
VTM-000176,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p282593_027_raw.jpg,ilmenite,target_mineral,0,282593,DG-b3499d2a428c,train
VTM-000177,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p282596_130_raw.jpg,ilmenite,target_mineral,0,282596,DG-c9e3050e4af9,val
VTM-000178,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p282597_134_raw.jpg,ilmenite,target_mineral,0,282597,DG-7a19944a6977,test
VTM-000179,raw_positive/ilmenite_ti_mineral/ilmenite_mindat_p283003_350_raw.jpg,ilmenite,target_mineral,0,283003,DG-568d20da8f76,train
