review_order,contact_sheet,tile_index,image_id,relative_path,mineral_label,four_class_label,four_class_id,mindat_photo_id,split_group_id,split,review_decision,review_reason,expert_note,reviewer,review_date
17,anatase_001.jpg,17,VTM-005654,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p109203_074_raw.jpg,anatase,ti_bearing_negative,1,109203,DG-dd082813bbc6,train,keep,,,,
18,anatase_001.jpg,18,VTM-005687,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p1134719_123_raw.jpg,anatase,ti_bearing_negative,1,1134719,DG-49da130d858c,train,keep,,,,
19,anatase_001.jpg,19,VTM-005727,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p121396_109_raw.jpg,anatase,ti_bearing_negative,1,121396,DG-5f53bc236448,train,keep,,,,
20,anatase_001.jpg,20,VTM-005729,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p121447_012_raw.jpg,anatase,ti_bearing_negative,1,121447,DG-0138cb5de0f1,train,keep,,,,
21,anatase_001.jpg,21,VTM-005785,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p131158_065_raw.jpg,anatase,ti_bearing_negative,1,131158,DG-60dcdd31a143,train,keep,,,,
22,anatase_001.jpg,22,VTM-005797,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p131841_054_raw.jpg,anatase,ti_bearing_negative,1,131841,DG-7ee1f605e2f4,train,keep,,,,
23,anatase_001.jpg,23,VTM-005805,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p1332964_023_raw.jpg,anatase,ti_bearing_negative,1,1332964,DG-eae3ed981d24,train,keep,,,,
24,anatase_001.jpg,24,VTM-005842,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p139153_092_raw.jpg,anatase,ti_bearing_negative,1,139153,DG-287a2c8cbe40,val,keep,,,,
25,anatase_001.jpg,25,VTM-005843,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p139155_096_raw.jpg,anatase,ti_bearing_negative,1,139155,DG-9971cc2be60b,train,keep,,,,
26,anatase_002.jpg,1,VTM-005845,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p139187_053_raw.jpg,anatase,ti_bearing_negative,1,139187,DG-bd8af52d1134,train,keep,,,,
27,anatase_002.jpg,2,VTM-005879,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p1567181_039_raw.jpg,anatase,ti_bearing_negative,1,1567181,DG-65eeba6548d2,train,keep,,,,
28,anatase_002.jpg,3,VTM-005900,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p162715_084_raw.jpg,anatase,ti_bearing_negative,1,162715,DG-5f3351e3386a,test,keep,,,,
29,anatase_002.jpg,4,VTM-005918,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p171128_244_raw.jpg,anatase,ti_bearing_negative,1,171128,DG-1a9d016a380a,train,keep,,,,
30,anatase_002.jpg,5,VTM-005943,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p194185_291_raw.jpg,anatase,ti_bearing_negative,1,194185,DG-464bdfb55752,val,keep,,,,
31,anatase_002.jpg,6,VTM-005984,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p214166_151_raw.jpg,anatase,ti_bearing_negative,1,214166,DG-d7ec79b96a89,train,keep,,,,
32,anatase_002.jpg,7,VTM-006008,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p234794_026_raw.jpg,anatase,ti_bearing_negative,1,234794,DG-0ae4fd881765,train,keep,,,,
33,anatase_002.jpg,8,VTM-006034,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p244896_089_raw.jpg,anatase,ti_bearing_negative,1,244896,DG-3bea6acbbaff,train,keep,,,,
34,anatase_002.jpg,9,VTM-006075,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p278547_199_raw.jpg,anatase,ti_bearing_negative,1,278547,DG-482f84d024e3,train,keep,,,,
35,anatase_002.jpg,10,VTM-006103,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p295145_029_raw.jpg,anatase,ti_bearing_negative,1,295145,DG-eb456560513e,test,keep,,,,
36,anatase_002.jpg,11,VTM-006104,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p296555_288_raw.jpg,anatase,ti_bearing_negative,1,296555,DG-33c7cd5e70fd,test,keep,,,,
37,anatase_002.jpg,12,VTM-006108,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p299904_071_raw.jpg,anatase,ti_bearing_negative,1,299904,DG-85e3e10359ff,val,keep,,,,
38,anatase_002.jpg,13,VTM-006113,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p303049_109_raw.jpg,anatase,ti_bearing_negative,1,303049,DG-3ea250d09846,train,keep,,,,
39,anatase_002.jpg,14,VTM-006171,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p355230_181_raw.jpg,anatase,ti_bearing_negative,1,355230,DG-2105739ba86d,train,keep,,,,
40,anatase_002.jpg,15,VTM-006218,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p394280_273_raw.jpg,anatase,ti_bearing_negative,1,394280,DG-c3020fadaed3,val,keep,,,,
41,anatase_002.jpg,16,VTM-006238,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p423107_149_raw.jpg,anatase,ti_bearing_negative,1,423107,DG-98f562a02be6,val,keep,,,,
42,anatase_002.jpg,17,VTM-006246,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p427566_150_raw.jpg,anatase,ti_bearing_negative,1,427566,DG-bf1e600c7bed,train,keep,,,,
43,anatase_002.jpg,18,VTM-006247,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p428479_049_raw.jpg,anatase,ti_bearing_negative,1,428479,DG-d80a1b71c854,train,keep,,,,
44,anatase_002.jpg,19,VTM-006265,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p439997_175_raw.jpg,anatase,ti_bearing_negative,1,439997,DG-abf8e1a9fe0f,train,keep,,,,
45,anatase_002.jpg,20,VTM-006282,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p471144_006_raw.jpg,anatase,ti_bearing_negative,1,471144,DG-6918d9390f09,train,keep,,,,
46,anatase_002.jpg,21,VTM-006310,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p533207_038_raw.jpg,anatase,ti_bearing_negative,1,533207,DG-e285244a1c2a,val,keep,,,,
47,anatase_002.jpg,22,VTM-006316,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p541554_183_raw.jpg,anatase,ti_bearing_negative,1,541554,DG-eaa4ca3eb611,train,keep,,,,
48,anatase_002.jpg,23,VTM-006334,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p575483_056_raw.jpg,anatase,ti_bearing_negative,1,575483,DG-ab7ad2537ab0,train,keep,,,,
49,anatase_002.jpg,24,VTM-006355,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p608688_030_raw.jpg,anatase,ti_bearing_negative,1,608688,DG-b6e927e90cc0,test,keep,,,,
50,anatase_002.jpg,25,VTM-006513,raw_negative/ti_bearing_negative/anatase/anatase_mindat_p958929_113_raw.jpg,anatase,ti_bearing_negative,1,958929,DG-30d963e0c73b,train,keep,,,,
1,calcite_001.jpg,1,VTM-001708,raw_negative/gangue_negative/calcite/calcite_mindat_p001831_page1_061_raw.jpg,calcite,gangue_negative,2,1831,DG-7ca8671e0077,train,keep,,,,
2,calcite_001.jpg,2,VTM-001713,raw_negative/gangue_negative/calcite/calcite_mindat_p007429_page1_031_raw.jpg,calcite,gangue_negative,2,7429,DG-a31daab35958,train,keep,,,,
3,calcite_001.jpg,3,VTM-001718,raw_negative/gangue_negative/calcite/calcite_mindat_p015032_page6_003_raw.jpg,calcite,gangue_negative,2,15032,DG-76d30c6c5612,train,keep,,,,
4,calcite_001.jpg,4,VTM-001722,raw_negative/gangue_negative/calcite/calcite_mindat_p019697_page1_043_raw.jpg,calcite,gangue_negative,2,19697,DG-a89abcbcecd2,train,keep,,,,
5,calcite_001.jpg,5,VTM-001736,raw_negative/gangue_negative/calcite/calcite_mindat_p032496_page6_014_raw.jpg,calcite,gangue_negative,2,32496,DG-a69a03d4cc5e,train,keep,,,,
6,calcite_001.jpg,6,VTM-001748,raw_negative/gangue_negative/calcite/calcite_mindat_p044632_page8_051_raw.jpg,calcite,gangue_negative,2,44632,DG-bc566074a60f,train,keep,,,,
7,calcite_001.jpg,7,VTM-001749,raw_negative/gangue_negative/calcite/calcite_mindat_p045927_page9_023_raw.jpg,calcite,gangue_negative,2,45927,DG-7ba47f77b4da,val,keep,,,,
8,calcite_001.jpg,8,VTM-001759,raw_negative/gangue_negative/calcite/calcite_mindat_p049798_page1_030_raw.jpg,calcite,gangue_negative,2,49798,DG-3d9e7ed01efa,train,keep,,,,
9,calcite_001.jpg,9,VTM-001771,raw_negative/gangue_negative/calcite/calcite_mindat_p060499_page4_002_raw.jpg,calcite,gangue_negative,2,60499,DG-25a6377f227f,val,keep,,,,
10,calcite_001.jpg,10,VTM-001772,raw_negative/gangue_negative/calcite/calcite_mindat_p060801_page1_041_raw.jpg,calcite,gangue_negative,2,60801,DG-27451a125fe5,train,keep,,,,
11,calcite_001.jpg,11,VTM-001773,raw_negative/gangue_negative/calcite/calcite_mindat_p060852_page8_064_raw.jpg,calcite,gangue_negative,2,60852,DG-8d30df6419c9,train,keep,,,,
12,calcite_001.jpg,12,VTM-001783,raw_negative/gangue_negative/calcite/calcite_mindat_p070846_page1_044_raw.jpg,calcite,gangue_negative,2,70846,DG-c613ce9c4c4b,val,keep,,,,
13,calcite_001.jpg,13,VTM-001790,raw_negative/gangue_negative/calcite/calcite_mindat_p076931_page8_010_raw.jpg,calcite,gangue_negative,2,76931,DG-541cbc0ffd09,train,keep,,,,
14,calcite_001.jpg,14,VTM-001791,raw_negative/gangue_negative/calcite/calcite_mindat_p076934_page8_058_raw.jpg,calcite,gangue_negative,2,76934,DG-0b72cf593431,train,keep,,,,
15,calcite_001.jpg,15,VTM-001792,raw_negative/gangue_negative/calcite/calcite_mindat_p081176_page1_035_raw.jpg,calcite,gangue_negative,2,81176,DG-a99e91c5bfe9,val,keep,,,,
16,calcite_001.jpg,16,VTM-001801,raw_negative/gangue_negative/calcite/calcite_mindat_p083955_page8_041_raw.jpg,calcite,gangue_negative,2,83955,DG-5ed230bcaeae,train,keep,,,,
17,calcite_001.jpg,17,VTM-001812,raw_negative/gangue_negative/calcite/calcite_mindat_p091413_page1_007_raw.jpg,calcite,gangue_negative,2,91413,DG-b1ad06fa4d29,test,keep,,,,
18,calcite_001.jpg,18,VTM-001813,raw_negative/gangue_negative/calcite/calcite_mindat_p093733_page1_064_raw.jpg,calcite,gangue_negative,2,93733,DG-0656bc78bbbc,val,keep,,,,
19,calcite_001.jpg,19,VTM-001814,raw_negative/gangue_negative/calcite/calcite_mindat_p095961_page1_021_raw.jpg,calcite,gangue_negative,2,95961,DG-143cd66e2b2a,train,keep,,,,
20,calcite_001.jpg,20,VTM-001816,raw_negative/gangue_negative/calcite/calcite_mindat_p099221_page1_046_raw.jpg,calcite,gangue_negative,2,99221,DG-f89ac035b99d,val,keep,,,,
21,calcite_001.jpg,21,VTM-001818,raw_negative/gangue_negative/calcite/calcite_mindat_p1013771_page9_005_raw.jpg,calcite,gangue_negative,2,1013771,DG-37314de86155,train,keep,,,,
22,calcite_001.jpg,22,VTM-001827,raw_negative/gangue_negative/calcite/calcite_mindat_p114997_page1_034_raw.jpg,calcite,gangue_negative,2,114997,DG-633fa2f6211f,train,keep,,,,
23,calcite_001.jpg,23,VTM-001830,raw_negative/gangue_negative/calcite/calcite_mindat_p116021_page1_010_raw.jpg,calcite,gangue_negative,2,116021,DG-0ab0b9aba8e3,train,keep,,,,
24,calcite_001.jpg,24,VTM-001832,raw_negative/gangue_negative/calcite/calcite_mindat_p116365_page6_018_raw.jpg,calcite,gangue_negative,2,116365,DG-fa7c30f8c349,train,keep,,,,
25,calcite_001.jpg,25,VTM-001855,raw_negative/gangue_negative/calcite/calcite_mindat_p122638_page6_016_raw.jpg,calcite,gangue_negative,2,122638,DG-892e4b8c70f5,train,keep,,,,
26,calcite_002.jpg,1,VTM-001875,raw_negative/gangue_negative/calcite/calcite_mindat_p134483_page1_001_raw.jpg,calcite,gangue_negative,2,134483,DG-082d60591008,train,keep,,,,
27,calcite_002.jpg,2,VTM-001877,raw_negative/gangue_negative/calcite/calcite_mindat_p142432_page9_044_raw.jpg,calcite,gangue_negative,2,142432,DG-6e433790b79a,train,keep,,,,
28,calcite_002.jpg,3,VTM-001883,raw_negative/gangue_negative/calcite/calcite_mindat_p1452483_page2_011_raw.jpg,calcite,gangue_negative,2,1452483,DG-2b77a54043f8,train,keep,,,,
29,calcite_002.jpg,4,VTM-001886,raw_negative/gangue_negative/calcite/calcite_mindat_p1452495_page2_005_raw.jpg,calcite,gangue_negative,2,1452495,DG-d93679576e50,val,keep,,,,
30,calcite_002.jpg,5,VTM-001894,raw_negative/gangue_negative/calcite/calcite_mindat_p147795_page9_073_raw.jpg,calcite,gangue_negative,2,147795,DG-10a9a20390cd,test,keep,,,,
31,calcite_002.jpg,6,VTM-001899,raw_negative/gangue_negative/calcite/calcite_mindat_p152988_page9_035_raw.jpg,calcite,gangue_negative,2,152988,DG-ca8046e7c9e9,train,keep,,,,
32,calcite_002.jpg,7,VTM-001900,raw_negative/gangue_negative/calcite/calcite_mindat_p154970_page8_048_raw.jpg,calcite,gangue_negative,2,154970,DG-b5bca816ebc6,train,keep,,,,
33,calcite_002.jpg,8,VTM-001903,raw_negative/gangue_negative/calcite/calcite_mindat_p155776_page9_032_raw.jpg,calcite,gangue_negative,2,155776,DG-b18b7a8c6075,train,keep,,,,
34,calcite_002.jpg,9,VTM-001909,raw_negative/gangue_negative/calcite/calcite_mindat_p157915_page9_020_raw.jpg,calcite,gangue_negative,2,157915,DG-1a7b849d8231,train,keep,,,,
35,calcite_002.jpg,10,VTM-001926,raw_negative/gangue_negative/calcite/calcite_mindat_p171346_page8_075_raw.jpg,calcite,gangue_negative,2,171346,DG-626b3387031b,val,keep,,,,
36,calcite_002.jpg,11,VTM-001946,raw_negative/gangue_negative/calcite/calcite_mindat_p252755_page8_020_raw.jpg,calcite,gangue_negative,2,252755,DG-eda8ba2e978a,train,keep,,,,
37,calcite_002.jpg,12,VTM-001966,raw_negative/gangue_negative/calcite/calcite_mindat_p427735_page9_064_raw.jpg,calcite,gangue_negative,2,427735,DG-dd004fef834a,train,keep,,,,
38,calcite_002.jpg,13,VTM-001967,raw_negative/gangue_negative/calcite/calcite_mindat_p437832_page8_007_raw.jpg,calcite,gangue_negative,2,437832,DG-91b97aea3daf,train,keep,,,,
39,calcite_002.jpg,14,VTM-001970,raw_negative/gangue_negative/calcite/calcite_mindat_p460213_page9_043_raw.jpg,calcite,gangue_negative,2,460213,DG-9832d0d63a24,train,keep,,,,
40,calcite_002.jpg,15,VTM-001973,raw_negative/gangue_negative/calcite/calcite_mindat_p469036_page6_021_raw.jpg,calcite,gangue_negative,2,469036,DG-5fcffb0250b0,test,keep,,,,
41,calcite_002.jpg,16,VTM-001979,raw_negative/gangue_negative/calcite/calcite_mindat_p476228_page6_040_raw.jpg,calcite,gangue_negative,2,476228,DG-7156c4bcbc36,val,keep,,,,
42,calcite_002.jpg,17,VTM-002002,raw_negative/gangue_negative/calcite/calcite_mindat_p523391_page1_056_raw.jpg,calcite,gangue_negative,2,523391,DG-456764511431,test,keep,,,,
43,calcite_002.jpg,18,VTM-002003,raw_negative/gangue_negative/calcite/calcite_mindat_p528767_page9_025_raw.jpg,calcite,gangue_negative,2,528767,DG-14eb5ce9c63f,val,keep,,,,
44,calcite_002.jpg,19,VTM-002005,raw_negative/gangue_negative/calcite/calcite_mindat_p533060_page6_050_raw.jpg,calcite,gangue_negative,2,533060,DG-3adb5fd6b8db,train,keep,,,,
45,calcite_002.jpg,20,VTM-002015,raw_negative/gangue_negative/calcite/calcite_mindat_p607238_page6_060_raw.jpg,calcite,gangue_negative,2,607238,DG-47602cde82de,test,keep,,,,
46,calcite_002.jpg,21,VTM-002018,raw_negative/gangue_negative/calcite/calcite_mindat_p644809_page6_064_raw.jpg,calcite,gangue_negative,2,644809,DG-c2299ae73b20,train,keep,,,,
47,calcite_002.jpg,22,VTM-002021,raw_negative/gangue_negative/calcite/calcite_mindat_p644817_page6_048_raw.jpg,calcite,gangue_negative,2,644817,DG-b2e3f2dd4fbe,train,keep,,,,
48,calcite_002.jpg,23,VTM-002026,raw_negative/gangue_negative/calcite/calcite_mindat_p655421_page6_051_raw.jpg,calcite,gangue_negative,2,655421,DG-ca683a764719,val,keep,,,,
49,calcite_002.jpg,24,VTM-002029,raw_negative/gangue_negative/calcite/calcite_mindat_p655493_page6_066_raw.jpg,calcite,gangue_negative,2,655493,DG-6c0c92ceb5e6,train,keep,,,,
50,calcite_002.jpg,25,VTM-002038,raw_negative/gangue_negative/calcite/calcite_mindat_p791006_page9_033_raw.jpg,calcite,gangue_negative,2,791006,DG-e22c7a8ad53f,train,keep,,,,
1,chalcopyrite_001.jpg,1,VTM-004135,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p003139_page3_003_raw.jpg,chalcopyrite,metallic_hard_negative,3,3139,DG-adc1175125a1,test,keep,,,,
2,chalcopyrite_001.jpg,2,VTM-004142,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p009528_page6_003_raw.jpg,chalcopyrite,metallic_hard_negative,3,9528,DG-01763ea704f7,val,keep,,,,
3,chalcopyrite_001.jpg,3,VTM-004149,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p029372_page4_002_raw.jpg,chalcopyrite,metallic_hard_negative,3,29372,DG-6a2365056b07,test,keep,,,,
4,chalcopyrite_001.jpg,4,VTM-004161,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p056819_page1_069_raw.jpg,chalcopyrite,metallic_hard_negative,3,56819,DG-ba6b7b5ebdb9,train,keep,,,,
5,chalcopyrite_001.jpg,5,VTM-004164,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p069210_page1_001_raw.jpg,chalcopyrite,metallic_hard_negative,3,69210,DG-c80b5ad3ffb3,train,keep,,,,
6,chalcopyrite_001.jpg,6,VTM-004166,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p070327_page6_005_raw.jpg,chalcopyrite,metallic_hard_negative,3,70327,DG-4235c3636cfb,train,keep,,,,
7,chalcopyrite_001.jpg,7,VTM-004188,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p109657_page1_031_raw.jpg,chalcopyrite,metallic_hard_negative,3,109657,DG-a4254b0e00f4,test,keep,,,,
8,chalcopyrite_001.jpg,8,VTM-004196,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p115228_page1_012_raw.jpg,chalcopyrite,metallic_hard_negative,3,115228,DG-466546dc0e93,train,keep,,,,
9,chalcopyrite_001.jpg,9,VTM-004198,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1154922_page6_026_raw.jpg,chalcopyrite,metallic_hard_negative,3,1154922,DG-37f012c18419,train,keep,,,,
10,chalcopyrite_001.jpg,10,VTM-004203,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1245983_page4_001_raw.jpg,chalcopyrite,metallic_hard_negative,3,1245983,DG-b8fbe6502090,train,exclude,microscope_image,,,
11,chalcopyrite_001.jpg,11,VTM-004207,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1297369_page5_005_raw.jpg,chalcopyrite,metallic_hard_negative,3,1297369,DG-56e580b37e9f,train,keep,,,,
12,chalcopyrite_001.jpg,12,VTM-004209,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1301081_page7_004_raw.jpg,chalcopyrite,metallic_hard_negative,3,1301081,DG-17021d22a929,train,exclude,microscope_image,,,
13,chalcopyrite_001.jpg,13,VTM-004214,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1347660_page7_016_raw.jpg,chalcopyrite,metallic_hard_negative,3,1347660,DG-4d754843c8ee,train,keep,,,,
14,chalcopyrite_001.jpg,14,VTM-004223,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1361594_page7_024_raw.jpg,chalcopyrite,metallic_hard_negative,3,1361594,DG-b1014726e89c,val,exclude,microscope_image,,,
15,chalcopyrite_001.jpg,15,VTM-004226,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p138837_page3_010_raw.jpg,chalcopyrite,metallic_hard_negative,3,138837,DG-5cfec6919979,train,keep,,,,
16,chalcopyrite_001.jpg,16,VTM-004230,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1393041_page7_025_raw.jpg,chalcopyrite,metallic_hard_negative,3,1393041,DG-1ff8468fcb64,test,keep,,,,
17,chalcopyrite_001.jpg,17,VTM-004235,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p141910_page1_050_raw.jpg,chalcopyrite,metallic_hard_negative,3,141910,DG-4edb133736c6,train,keep,,,,
18,chalcopyrite_001.jpg,18,VTM-004239,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1453528_page5_006_raw.jpg,chalcopyrite,metallic_hard_negative,3,1453528,DG-7569fb280464,train,keep,,,,
19,chalcopyrite_001.jpg,19,VTM-004244,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1504887_page7_023_raw.jpg,chalcopyrite,metallic_hard_negative,3,1504887,DG-c9125a3f4c4d,val,exclude,microscope_image,,,
20,chalcopyrite_001.jpg,20,VTM-004250,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1535741_page2_012_raw.jpg,chalcopyrite,metallic_hard_negative,3,1535741,DG-07719d84ae22,train,keep,,,,
21,chalcopyrite_001.jpg,21,VTM-004253,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p163051_page4_010_raw.jpg,chalcopyrite,metallic_hard_negative,3,163051,DG-6da7c57e58dd,train,keep,,,,
22,chalcopyrite_001.jpg,22,VTM-004261,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1694148_page7_029_raw.jpg,chalcopyrite,metallic_hard_negative,3,1694148,DG-ebf4b2913dc1,train,exclude,microscope_image,,,
23,chalcopyrite_001.jpg,23,VTM-004265,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1694337_page7_030_raw.jpg,chalcopyrite,metallic_hard_negative,3,1694337,DG-f9d478a48d2c,train,exclude,microscope_image,,,
24,chalcopyrite_001.jpg,24,VTM-004266,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p1694340_page7_033_raw.jpg,chalcopyrite,metallic_hard_negative,3,1694340,DG-b39923e015fb,train,exclude,microscope_image,,,
25,chalcopyrite_001.jpg,25,VTM-004271,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p181334_page3_026_raw.jpg,chalcopyrite,metallic_hard_negative,3,181334,DG-f9d7beaf8ef5,train,keep,,,,
26,chalcopyrite_002.jpg,1,VTM-004272,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p181893_page1_010_raw.jpg,chalcopyrite,metallic_hard_negative,3,181893,DG-10928d8997b0,test,keep,,,,
27,chalcopyrite_002.jpg,2,VTM-004274,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p210265_page3_016_raw.jpg,chalcopyrite,metallic_hard_negative,3,210265,DG-773a7fc80693,train,keep,,,,
28,chalcopyrite_002.jpg,3,VTM-004277,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p220490_page3_027_raw.jpg,chalcopyrite,metallic_hard_negative,3,220490,DG-46ae48273298,train,keep,,,,
29,chalcopyrite_002.jpg,4,VTM-004291,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p275848_page3_013_raw.jpg,chalcopyrite,metallic_hard_negative,3,275848,DG-edf0c2296ede,train,keep,,,,
30,chalcopyrite_002.jpg,5,VTM-004301,raw_negative/metallic_hard_negative/chalcopyrite/chalcopyrite_mindat_p330961_page4_014_raw.jpg,chalcopyrite,metallic_hard_negative,3,330961,DG-bb8d092cc2a9,train,keep,,,,
